Month,Real,Predicted
2017-01-01,317.68,345.06473
2017-02-01,313.99,381.6014
2017-03-01,362.0,422.8951
2017-04-01,398.63000000000005,430.14017
2017-05-01,466.7,464.60956
2017-06-01,549.0,498.60977
2017-07-01,606.8,553.02924
2017-08-01,579.48,610.5159
2017-09-01,580.9,637.77423
2017-10-01,536.5,622.7019
2017-11-01,575.37,615.0095
2017-12-01,697.8500000000001,597.4657
2018-01-01,669.38,642.70483
2018-02-01,695.41,705.8277
2018-03-01,645.15,694.86615
2018-04-01,731.23,699.8729
2018-05-01,768.16,688.1192
2018-06-01,624.42,743.0929
2018-07-01,649.72,736.5024
2018-08-01,729.58,661.0397
2018-09-01,738.22,690.36017
2018-10-01,721.63,736.5275
2018-11-01,745.15,738.2045
2018-12-01,771.71,733.4106
2019-01-01,742.1,751.50104
2019-02-01,690.14,760.6804
2019-03-01,587.54,734.41766
2019-04-01,656.1,685.9921
2019-05-01,628.83,641.579
2019-06-01,643.68,674.8027
2019-07-01,712.91,662.3607
2019-08-01,708.2200000000001,683.82336
2019-09-01,810.4700000000001,721.5771
2019-10-01,872.52,738.26746
2019-11-01,868.3,806.6368
2019-12-01,897.99,840.1088
2020-01-01,946.55,843.3166
2020-02-01,1205.18,868.6909
2020-03-01,1323.3300000000002,943.0132
2020-04-01,1301.2,1104.4254
2020-05-01,2562.22,1163.6562
2020-06-01,3399.21,1370.9006
2020-07-01,3808.82,2122.0947
2020-08-01,3848.8399999999997,2550.6409
2020-09-01,3735.05,2727.003
2020-10-01,3707.94,2729.2522
2020-11-01,5013.06,2678.9329
2020-12-01,5576.47,2825.0923
2021-01-01,4653.9,3369.1523
