Month,Real,Predicted
2017-01-01,7437.45,6916.118
2017-02-01,6565.65,8681.276
2017-03-01,6788.129999999999,8907.171
2017-04-01,6916.12,8482.634
2017-05-01,6930.98,8636.506
2017-06-01,8579.34,8710.54
2017-07-01,9265.31,9124.404
2017-08-01,9595.13,10198.114
2017-09-01,10154.63,10655.332
2017-10-01,11591.2,10973.379
2017-11-01,14982.29,11631.863
2017-12-01,17569.759999999995,13246.094
2018-01-01,15101.83,15723.818
2018-02-01,15221.65,16531.584
2018-03-01,14332.819999999998,15218.706
2018-04-01,14412.41,15067.83
2018-05-01,15856.32,14603.013
2018-06-01,14267.35,14997.586
2018-07-01,14204.84,15397.404
2018-08-01,13703.57,14516.804
2018-09-01,14340.77,14360.661
2018-10-01,14205.97,14242.551
2018-11-01,14382.08,14557.094
2018-12-01,14319.15,14526.498
2019-01-01,14999.84,14607.157
2019-02-01,13148.2,14738.51
2019-03-01,12534.030000000002,14658.701
2019-04-01,13591.83,13499.057
2019-05-01,13148.260000000002,13421.831
2019-06-01,12879.19,13891.005
2019-07-01,13416.02,13583.31
2019-08-01,13874.05,13567.387
2019-09-01,14428.16,13972.013
2019-10-01,15522.5,14356.785
2019-11-01,15683.87,14925.009
2019-12-01,15961.09,15559.952
2020-01-01,17276.219999999998,15715.052
2020-02-01,15129.9,16184.82
2020-03-01,18556.78,16378.941
2020-04-01,18958.94,16043.383
2020-05-01,25564.42,18000.326
2020-06-01,32282.7,19806.875
2020-07-01,35770.11,24952.047
2020-08-01,41624.22,29338.693
2020-09-01,53946.81,32528.578
2020-10-01,68546.13,38363.96
2020-11-01,159305.39,47797.137
2020-12-01,102797.12,71789.625
2021-01-01,93811.81,99830.54
