Month,Real,Predicted
2017-01-01,534.77,366.9747
2017-02-01,600.18,523.8375
2017-03-01,514.48,578.2984
2017-04-01,542.93,598.667
2017-05-01,556.88,549.3902
2017-06-01,532.66,572.0239
2017-07-01,665.07,574.7585
2017-08-01,603.53,594.4742
2017-09-01,630.02,666.2575
2017-10-01,673.82,632.23785
2017-11-01,622.6,661.9293
2017-12-01,618.51,677.3443
2018-01-01,660.59,641.8652
2018-02-01,687.42,650.59784
2018-03-01,677.21,686.19073
2018-04-01,703.2,701.4561
2018-05-01,685.67,701.71173
2018-06-01,671.79,714.42236
2018-07-01,681.84,698.7897
2018-08-01,712.51,692.19824
2018-09-01,656.26,707.3913
2018-10-01,613.5,712.62537
2018-11-01,656.99,663.0638
2018-12-01,658.89,646.25916
2019-01-01,672.49,675.9565
2019-02-01,694.58,680.95654
2019-03-01,661.49,696.165
2019-04-01,692.96,701.96826
2019-05-01,750.35,688.3153
2019-06-01,794.15,725.315
2019-07-01,968.39,776.3073
2019-08-01,920.92,854.8305
2019-09-01,971.03,961.4111
2019-10-01,1055.36,942.7702
2019-11-01,1122.58,1001.4765
2019-12-01,1291.68,1079.5789
2020-01-01,1275.9,1175.8566
2020-02-01,1262.75,1291.3561
2020-03-01,1795.14,1276.2274
2020-04-01,1780.99,1425.1251
2020-05-01,2837.91,1811.1753
2020-06-01,3377.38,2133.5352
2020-07-01,3556.2499999999995,3135.8848
2020-08-01,3511.1800000000003,3632.3735
2020-09-01,3377.94,3763.3289
2020-10-01,3929.61,3681.1768
2020-11-01,7046.73,3759.8694
2020-12-01,6026.21,5276.6797
2021-01-01,5142.03,7491.3315
