Month,Real,Predicted
2017-01-01,1466.5,1422.0101
2017-02-01,1487.78,1881.7986
2017-03-01,1548.22,2190.8853
2017-04-01,1594.8600000000001,2216.9927
2017-05-01,1918.2100000000003,2263.1445
2017-06-01,1990.91,2363.072
2017-07-01,2303.28,2570.2405
2017-08-01,2473.56,2682.98
2017-09-01,3106.4,2905.2495
2017-10-01,3465.64,3146.8586
2017-11-01,4518.76,3599.3594
2017-12-01,5213.37,4044.6208
2018-01-01,5831.99,4815.622
2018-02-01,6263.43,5357.972
2018-03-01,6083.39,5813.395
2018-04-01,6308.159999999999,6024.8315
2018-05-01,5408.84,5969.4766
2018-06-01,5425.55,5902.741
2018-07-01,5266.24,5382.412
2018-08-01,5077.05,5357.0435
2018-09-01,5086.51,5222.329
2018-10-01,4624.19,5113.926
2018-11-01,4558.85,5017.344
2018-12-01,4882.46,4732.4927
2019-01-01,4512.49,4765.867
2019-02-01,4431.41,4873.3457
2019-03-01,4185.01,4638.896
2019-04-01,4263.22,4536.837
2019-05-01,4529.92,4409.7954
2019-06-01,4226.18,4514.7344
2019-07-01,4287.1,4603.6553
2019-08-01,4310.78,4439.2163
2019-09-01,4301.06,4480.1616
2019-10-01,4497.46,4491.8813
2019-11-01,4593.53,4529.707
2019-12-01,4988.1,4665.991
2020-01-01,4912.07,4809.5273
2020-02-01,5458.71,5023.4253
2020-03-01,5611.949999999999,5099.736
2020-04-01,5669.069999999999,5452.5757
2020-05-01,6845.289999999999,5554.4956
2020-06-01,9208.59,5846.4473
2020-07-01,12347.35,7045.0312
2020-08-01,13893.74,9076.665
2020-09-01,18838.4,11174.446
2020-10-01,22261.49,13046.411
2020-11-01,41863.65000000001,16380.278
2020-12-01,28199.18,21575.785
2021-01-01,23471.08,28366.643
