DataDate,profit
2016-02-26,21.0
2016-02-26,20.0
2016-02-26,48.0
2016-02-26,46.0
2016-02-29,21.0
2016-02-29,20.0
2016-02-29,48.0
2016-02-29,47.0
2016-03-01,19.0
2016-03-01,18.0
2016-03-01,46.0
2016-03-01,45.0
2016-03-02,19.0
2016-03-02,17.0
2016-03-02,46.0
2016-03-02,44.0
2016-03-03,19.0
2016-03-03,17.0
2016-03-03,46.0
2016-03-03,44.0
2016-03-04,19.0
2016-03-04,17.0
2016-03-04,45.0
2016-03-04,44.0
2016-03-07,19.0
2016-03-07,17.0
2016-03-07,46.0
2016-03-07,44.0
2016-03-08,19.0
2016-03-08,18.0
2016-03-08,46.0
2016-03-08,45.0
2016-03-09,19.0
2016-03-09,18.0
2016-03-09,46.0
2016-03-09,45.0
2016-03-10,19.0
2016-03-10,18.0
2016-03-10,46.0
2016-03-10,45.0
2016-03-11,19.0
2016-03-11,18.0
2016-03-11,46.0
2016-03-11,45.0
2016-03-14,19.0
2016-03-14,18.0
2016-03-14,46.0
2016-03-14,45.0
2016-03-15,19.0
2016-03-15,18.0
2016-03-15,47.0
2016-03-15,45.0
2016-03-16,20.0
2016-03-16,18.0
2016-03-16,47.0
2016-03-16,45.0
2016-03-17,20.0
2016-03-17,19.0
2016-03-17,47.0
2016-03-17,46.0
2016-03-18,19.0
2016-03-18,18.0
2016-03-18,46.0
2016-03-18,45.0
2016-03-21,19.0
2016-03-21,18.0
2016-03-21,47.0
2016-03-21,45.0
2016-03-22,19.0
2016-03-22,18.0
2016-03-22,47.0
2016-03-22,45.0
2016-03-23,19.0
2016-03-23,18.0
2016-03-23,46.0
2016-03-23,45.0
2016-03-24,19.0
2016-03-24,18.0
2016-03-24,47.0
2016-03-24,45.0
2016-03-28,47.0
2016-03-28,45.0
2016-03-29,47.0
2016-03-29,46.0
2016-03-30,47.0
2016-03-30,45.0
2016-03-31,47.0
2016-03-31,46.0
2016-04-01,47.0
2016-04-01,45.0
2016-04-04,47.0
2016-04-04,45.0
2016-04-05,47.0
2016-04-06,47.0
2016-04-06,46.0
2016-04-07,49.0
2016-04-07,48.0
2016-04-08,49.0
2016-04-08,47.0
2016-04-11,47.0
2016-04-12,47.0
2016-04-12,45.0
2016-04-13,44.0
2016-04-13,43.0
2016-04-14,44.0
2016-04-14,43.0
2016-04-15,44.0
2016-04-15,43.0
2016-04-18,44.0
2016-04-18,43.0
2016-04-19,42.0
2016-04-19,41.0
2016-04-20,42.0
2016-04-20,41.0
2016-04-21,42.0
2016-04-21,41.0
2016-04-22,42.0
2016-04-22,40.0
2016-04-25,42.0
2016-04-25,41.0
2016-04-26,42.0
2016-04-26,40.0
2016-04-27,42.0
2016-04-27,40.0
2016-04-28,42.0
2016-04-28,41.0
2016-04-29,42.0
2016-04-29,41.0
2016-05-02,42.0
2016-05-02,40.0
2016-05-03,44.0
2016-05-03,42.0
2016-05-04,44.0
2016-05-04,42.0
2016-05-05,44.0
2016-05-05,43.0
2016-05-06,44.0
2016-05-06,43.0
2016-05-09,44.0
2016-05-09,43.0
2016-05-10,44.0
2016-05-10,43.0
2016-05-11,44.0
2016-05-11,42.0
2016-05-12,44.0
2016-05-12,42.0
2016-05-13,44.0
2016-05-13,43.0
2016-05-16,44.0
2016-05-16,42.0
2016-05-17,44.0
2016-05-17,43.0
2016-05-18,41.0
2016-05-18,40.0
2016-05-19,42.0
2016-05-19,40.0
2016-05-20,42.0
2016-05-20,40.0
2016-05-23,42.0
2016-05-23,41.0
2016-05-24,41.0
2016-05-24,40.0
2016-05-25,41.0
2016-05-25,40.0
2016-05-25,38.0
2016-05-26,41.0
2016-05-26,40.0
2016-05-27,41.0
2016-05-27,40.0
2016-05-31,41.0
2016-05-31,40.0
2016-06-01,40.0
2016-06-01,38.0
2016-06-02,40.0
2016-06-02,38.0
2016-06-03,42.0
2016-06-03,40.0
2016-06-06,41.0
2016-06-06,40.0
2016-06-07,42.0
2016-06-07,40.0
2016-06-08,41.0
2016-06-08,40.0
2016-06-09,42.0
2016-06-09,40.0
2016-06-10,42.0
2016-06-10,40.0
2016-06-13,42.0
2016-06-13,40.0
2016-06-14,18.0
2016-06-14,17.0
2016-06-14,44.0
2016-06-14,42.0
2016-06-15,19.0
2016-06-15,17.0
2016-06-15,44.0
2016-06-15,42.0
2016-06-16,18.0
2016-06-16,17.0
2016-06-16,44.0
2016-06-16,42.0
2016-06-17,19.0
2016-06-17,17.0
2016-06-17,44.0
2016-06-17,42.0
2016-06-20,19.0
2016-06-20,17.0
2016-06-20,44.0
2016-06-20,43.0
2016-06-21,18.0
2016-06-21,17.0
2016-06-21,44.0
2016-06-21,42.0
2016-06-22,18.0
2016-06-22,17.0
2016-06-22,44.0
2016-06-22,42.0
2016-06-23,17.0
2016-06-23,15.0
2016-06-23,42.0
2016-06-23,41.0
2016-06-24,21.0
2016-06-24,20.0
2016-06-24,46.0
2016-06-24,45.0
2016-06-27,23.0
2016-06-27,22.0
2016-06-27,49.0
2016-06-27,47.0
2016-06-28,21.0
2016-06-28,20.0
2016-06-28,46.0
2016-06-28,45.0
2016-06-29,19.0
2016-06-29,18.0
2016-06-29,45.0
2016-06-29,43.0
2016-06-30,19.0
2016-06-30,18.0
2016-06-30,44.0
2016-06-30,43.0
2016-07-01,19.0
2016-07-01,18.0
2016-07-01,44.0
2016-07-01,43.0
2016-07-05,21.0
2016-07-05,20.0
2016-07-05,46.0
2016-07-05,45.0
2016-07-06,21.0
2016-07-06,20.0
2016-07-06,46.0
2016-07-06,45.0
2016-07-07,21.0
2016-07-07,20.0
2016-07-07,46.0
2016-07-07,45.0
2016-07-08,19.0
2016-07-08,18.0
2016-07-08,44.0
2016-07-08,43.0
2016-07-11,19.0
2016-07-11,18.0
2016-07-11,44.0
2016-07-11,43.0
2016-07-12,17.0
2016-07-12,16.0
2016-07-12,43.0
2016-07-12,41.0
2016-07-13,17.0
2016-07-13,16.0
2016-07-13,43.0
2016-07-13,41.0
2016-07-14,17.0
2016-07-14,15.0
2016-07-14,42.0
2016-07-14,41.0
2016-07-15,17.0
2016-07-15,15.0
2016-07-15,42.0
2016-07-15,40.0
2016-07-18,17.0
2016-07-18,16.0
2016-07-18,42.0
2016-07-18,41.0
2016-07-19,17.0
2016-07-19,16.0
2016-07-19,42.0
2016-07-19,41.0
2016-07-20,17.0
2016-07-20,16.0
2016-07-20,42.0
2016-07-20,41.0
2016-07-21,17.0
2016-07-21,16.0
2016-07-21,42.0
2016-07-21,41.0
2016-07-22,17.0
2016-07-22,15.0
2016-07-22,42.0
2016-07-22,41.0
2016-07-25,17.0
2016-07-25,15.0
2016-07-25,42.0
2016-07-25,41.0
2016-07-26,17.0
2016-07-26,15.0
2016-07-26,42.0
2016-07-26,41.0
2016-07-27,17.0
2016-07-27,15.0
2016-07-27,42.0
2016-07-27,40.0
2016-07-28,17.0
2016-07-28,15.0
2016-07-28,42.0
2016-07-28,41.0
2016-07-29,17.0
2016-07-29,15.0
2016-07-29,42.0
2016-07-29,41.0
2016-08-01,17.0
2016-08-01,16.0
2016-08-01,42.0
2016-08-01,41.0
2016-08-02,17.0
2016-08-02,15.0
2016-08-02,42.0
2016-08-02,41.0
2016-08-03,17.0
2016-08-03,15.0
2016-08-03,42.0
2016-08-03,40.0
2016-08-04,17.0
2016-08-04,15.0
2016-08-04,42.0
2016-08-04,40.0
2016-08-05,14.0
2016-08-05,13.0
2016-08-05,40.0
2016-08-05,38.0
2016-08-08,15.0
2016-08-08,13.0
2016-08-08,40.0
2016-08-08,38.0
2016-08-09,15.0
2016-08-09,13.0
2016-08-09,40.0
2016-08-09,38.0
2016-08-10,16.0
2016-08-10,15.0
2016-08-10,41.0
2016-08-10,40.0
2016-08-11,16.0
2016-08-11,15.0
2016-08-11,13.0
2016-08-11,41.0
2016-08-11,40.0
2016-08-11,39.0
2016-08-12,16.0
2016-08-12,15.0
2016-08-12,42.0
2016-08-12,40.0
2016-08-15,15.0
2016-08-15,13.0
2016-08-15,40.0
2016-08-15,39.0
2016-08-16,15.0
2016-08-16,13.0
2016-08-16,40.0
2016-08-16,39.0
2016-08-17,15.0
2016-08-17,13.0
2016-08-17,40.0
2016-08-17,38.0
2016-08-18,15.0
2016-08-18,13.0
2016-08-18,40.0
2016-08-18,39.0
2016-08-19,15.0
2016-08-19,13.0
2016-08-19,40.0
2016-08-19,38.0
2016-08-22,40.0
2016-08-22,39.0
2016-08-23,40.0
2016-08-23,39.0
2016-08-24,40.0
2016-08-24,38.0
2016-08-25,40.0
2016-08-25,38.0
2016-08-26,40.0
2016-08-26,38.0
2016-08-29,40.0
2016-08-29,38.0
2016-08-30,39.0
2016-08-30,38.0
2016-08-31,39.0
2016-08-31,38.0
2016-09-01,39.0
2016-09-01,38.0
2016-09-02,39.0
2016-09-02,38.0
2016-09-06,39.0
2016-09-06,38.0
2016-09-07,40.0
2016-09-07,38.0
2016-09-08,39.0
2016-09-08,38.0
2016-09-09,40.0
2016-09-09,38.0
2016-09-12,39.0
2016-09-12,38.0
2016-09-13,39.0
2016-09-13,38.0
2016-09-14,40.0
2016-09-14,38.0
2016-09-15,40.0
2016-09-15,38.0
2016-09-16,40.0
2016-09-16,39.0
2016-09-19,40.0
2016-09-19,38.0
2016-09-20,40.0
2016-09-20,38.0
2016-09-21,40.0
2016-09-21,38.0
2016-09-22,39.0
2016-09-22,38.0
2016-09-23,40.0
2016-09-23,38.0
2016-09-26,40.0
2016-09-26,39.0
2016-09-27,40.0
2016-09-27,39.0
2016-09-28,40.0
2016-09-28,38.0
2016-09-29,42.0
2016-09-29,40.0
2016-09-29,39.0
2016-09-30,40.0
2016-09-30,39.0
2016-10-03,40.0
2016-10-03,38.0
2016-10-04,40.0
2016-10-04,38.0
2016-10-05,39.0
2016-10-05,38.0
2016-10-06,39.0
2016-10-06,38.0
2016-10-06,37.0
2016-10-07,39.0
2016-10-07,38.0
2016-10-07,36.0
2016-10-10,38.0
2016-10-10,36.0
2016-10-11,38.0
2016-10-11,36.0
2016-10-12,39.0
2016-10-12,38.0
2016-10-12,36.0
2016-10-13,39.0
2016-10-13,38.0
2016-10-13,36.0
2016-10-14,39.0
2016-10-14,38.0
2016-10-17,40.0
2016-10-17,38.0
2016-10-18,39.0
2016-10-18,38.0
2016-10-19,38.0
2016-10-19,36.0
2016-10-20,38.0
2016-10-20,36.0
2016-10-21,38.0
2016-10-21,36.0
2016-10-24,38.0
2016-10-24,36.0
2016-10-25,38.0
2016-10-25,36.0
2016-10-26,37.0
2016-10-26,36.0
2016-10-27,37.0
2016-10-27,36.0
2016-10-28,37.0
2016-10-28,36.0
2016-10-31,37.0
2016-10-31,36.0
2016-11-01,37.0
2016-11-01,36.0
2016-11-02,37.0
2016-11-02,36.0
2016-11-03,38.0
2016-11-03,36.0
2016-11-04,39.0
2016-11-04,38.0
2016-11-04,36.0
2016-11-07,37.0
2016-11-07,36.0
2016-11-08,37.0
2016-11-08,36.0
2016-11-09,33.0
2016-11-09,31.0
2016-11-10,30.0
2016-11-10,28.0
2016-11-11,29.0
2016-11-11,28.0
2016-11-14,26.0
2016-11-14,25.0
2016-11-14,23.0
2016-11-14,14.0
2016-11-14,13.0
2016-11-14,11.0
2016-11-15,26.0
2016-11-15,25.0
2016-11-15,15.0
2016-11-15,14.0
2016-11-16,28.0
2016-11-16,26.0
2016-11-16,25.0
2016-11-16,18.0
2016-11-16,16.0
2016-11-16,14.0
2016-11-17,27.0
2016-11-17,26.0
2016-11-17,24.0
2016-11-17,17.0
2016-11-17,15.0
2016-11-17,14.0
2016-11-18,28.0
2016-11-18,26.0
2016-11-18,25.0
2016-11-18,17.0
2016-11-18,15.0
2016-11-18,14.0
2016-11-21,27.0
2016-11-21,26.0
2016-11-21,25.0
2016-11-21,17.0
2016-11-21,15.0
2016-11-21,14.0
2016-11-22,26.0
2016-11-22,25.0
2016-11-22,15.0
2016-11-22,14.0
2016-11-23,26.0
2016-11-23,24.0
2016-11-23,15.0
2016-11-23,14.0
2016-11-25,26.0
2016-11-25,24.0
2016-11-25,15.0
2016-11-25,14.0
2016-11-28,26.0
2016-11-28,25.0
2016-11-28,15.0
2016-11-28,14.0
2016-11-29,26.0
2016-11-29,24.0
2016-11-29,15.0
2016-11-29,14.0
2016-11-30,25.0
2016-11-30,24.0
2016-11-30,22.0
2016-11-30,14.0
2016-11-30,13.0
2016-11-30,12.0
2016-12-01,23.0
2016-12-01,22.0
2016-12-01,20.0
2016-12-01,12.0
2016-12-01,11.0
2016-12-01,9.0
2016-12-02,23.0
2016-12-02,22.0
2016-12-02,12.0
2016-12-02,11.0
2016-12-05,22.0
2016-12-05,21.0
2016-12-05,20.0
2016-12-05,11.0
2016-12-05,10.0
2016-12-05,8.0
