DataDate,profit
2016-02-26,18.0
2016-02-26,45.0
2016-03-01,16.0
2016-03-01,43.0
2016-03-02,16.0
2016-03-02,43.0
2016-03-03,16.0
2016-03-03,43.0
2016-03-04,16.0
2016-03-04,43.0
2016-03-07,16.0
2016-03-07,43.0
2016-03-09,16.0
2016-03-09,43.0
2016-03-11,16.0
2016-03-11,43.0
2016-03-14,16.0
2016-03-14,44.0
2016-03-15,17.0
2016-03-15,44.0
2016-03-18,17.0
2016-03-18,44.0
2016-03-21,17.0
2016-03-21,44.0
2016-03-22,17.0
2016-03-22,44.0
2016-03-23,17.0
2016-03-23,44.0
2016-03-24,17.0
2016-03-24,44.0
2016-03-28,44.0
2016-03-30,44.0
2016-03-31,44.0
2016-04-01,44.0
2016-04-04,44.0
2016-04-05,46.0
2016-04-07,46.0
2016-04-08,46.0
2016-04-11,46.0
2016-04-12,44.0
2016-04-13,42.0
2016-04-14,41.0
2016-04-15,41.0
2016-04-18,41.0
2016-04-20,39.0
2016-04-22,39.0
2016-04-26,39.0
2016-04-27,39.0
2016-05-02,39.0
2016-05-03,41.0
2016-05-04,41.0
2016-05-06,41.0
2016-05-10,41.0
2016-05-11,41.0
2016-05-12,41.0
2016-05-16,41.0
2016-05-17,41.0
2016-05-18,38.0
2016-05-24,38.0
2016-05-26,38.0
2016-05-27,38.0
2016-05-31,38.0
2016-06-03,39.0
2016-06-06,39.0
2016-06-07,39.0
2016-06-08,38.0
2016-06-09,39.0
2016-06-10,39.0
2016-06-14,15.0
2016-06-14,41.0
2016-06-15,16.0
2016-06-15,41.0
2016-06-16,16.0
2016-06-16,41.0
2016-06-17,16.0
2016-06-17,41.0
2016-06-20,16.0
2016-06-20,41.0
2016-06-21,16.0
2016-06-21,41.0
2016-06-22,15.0
2016-06-22,41.0
2016-06-23,14.0
2016-06-23,39.0
2016-06-24,18.0
2016-06-24,43.0
2016-06-27,20.0
2016-06-27,46.0
2016-06-28,18.0
2016-06-28,44.0
2016-06-30,16.0
2016-06-30,41.0
2016-07-05,18.0
2016-07-05,44.0
2016-07-06,18.0
2016-07-06,43.0
2016-07-07,18.0
2016-07-07,43.0
2016-07-08,16.0
2016-07-08,41.0
2016-07-11,16.0
2016-07-11,41.0
2016-07-14,14.0
2016-07-14,39.0
2016-07-15,14.0
2016-07-15,39.0
2016-07-18,14.0
2016-07-18,39.0
2016-07-19,14.0
2016-07-19,39.0
2016-07-20,14.0
2016-07-20,39.0
2016-07-21,14.0
2016-07-21,39.0
2016-07-22,14.0
2016-07-22,39.0
2016-07-25,14.0
2016-07-25,39.0
2016-07-26,14.0
2016-07-26,39.0
2016-07-27,14.0
2016-07-27,39.0
2016-07-28,14.0
2016-07-28,39.0
2016-07-29,14.0
2016-07-29,39.0
2016-08-01,14.0
2016-08-01,39.0
2016-08-02,14.0
2016-08-02,39.0
2016-08-03,14.0
2016-08-03,39.0
2016-08-04,14.0
2016-08-04,39.0
2016-08-05,11.0
2016-08-05,37.0
2016-08-08,12.0
2016-08-08,37.0
2016-08-10,14.0
2016-08-10,39.0
2016-08-12,14.0
2016-08-12,39.0
2016-08-18,12.0
2016-08-18,37.0
2016-08-24,37.0
2016-08-25,37.0
2016-08-26,37.0
2016-08-29,37.0
2016-08-30,36.0
2016-08-31,36.0
2016-09-01,36.0
2016-09-02,36.0
2016-09-06,37.0
2016-09-07,37.0
2016-09-08,37.0
2016-09-09,37.0
2016-09-12,36.0
2016-09-13,36.0
2016-09-14,37.0
2016-09-15,37.0
2016-09-19,37.0
2016-09-20,37.0
2016-09-21,37.0
2016-09-22,37.0
2016-09-23,37.0
2016-09-27,37.0
2016-09-28,37.0
2016-09-30,37.0
2016-10-03,37.0
2016-10-04,37.0
2016-10-05,36.0
2016-10-10,35.0
2016-10-11,35.0
2016-10-14,36.0
2016-10-17,37.0
2016-10-18,37.0
2016-10-19,35.0
2016-10-20,35.0
2016-10-21,35.0
2016-10-24,35.0
2016-10-25,35.0
2016-10-26,35.0
2016-10-27,34.0
2016-10-28,35.0
2016-10-31,34.0
2016-11-01,34.0
2016-11-02,35.0
2016-11-03,34.0
2016-11-07,34.0
2016-11-08,34.0
2016-11-09,30.0
2016-11-15,23.0
2016-11-15,13.0
2016-11-16,23.0
2016-11-16,13.0
2016-11-17,23.0
2016-11-17,13.0
2016-11-18,23.0
2016-11-18,12.0
2016-11-21,23.0
2016-11-21,13.0
2016-11-22,23.0
2016-11-22,12.0
2016-11-23,23.0
2016-11-23,12.0
2016-11-25,23.0
2016-11-25,12.0
2016-11-28,23.0
2016-11-28,13.0
2016-11-29,23.0
2016-11-29,12.0
2016-11-30,21.0
2016-11-30,10.0
2016-12-01,18.0
2016-12-01,7.0
2016-12-02,20.0
2016-12-02,9.0
2016-12-05,18.0
2016-12-05,7.0
2016-12-06,18.0
2016-12-06,7.0
2016-12-07,18.0
2016-12-07,6.0
2016-12-08,16.0
2016-12-08,4.0
2016-12-09,16.0
2016-12-09,4.0
2016-12-12,16.0
2016-12-12,5.0
2016-12-13,16.0
2016-12-13,5.0
2016-12-14,16.0
2016-12-14,4.0
2016-12-15,15.0
2016-12-15,4.0
2016-12-16,16.0
2016-12-16,4.0
2016-12-19,16.0
2016-12-19,4.0
2016-12-20,14.0
2016-12-20,2.0
2016-12-21,13.0
2016-12-21,2.0
2016-12-22,13.0
2016-12-22,2.0
2016-12-23,13.0
2016-12-23,2.0
2016-12-27,13.0
2016-12-27,2.0
2016-12-28,13.0
2016-12-28,2.0
2016-12-29,15.0
2016-12-29,4.0
2016-12-30,15.0
2016-12-30,3.0
2017-01-03,13.0
2017-01-03,2.0
2017-01-04,13.0
2017-01-04,2.0
2017-01-05,15.0
2017-01-05,4.0
2017-01-06,15.0
2017-01-06,4.0
2017-01-09,15.0
2017-01-09,4.0
2017-01-10,14.0
2017-01-10,2.0
2017-01-11,13.0
2017-01-11,2.0
2017-01-12,15.0
2017-01-12,4.0
2017-01-13,14.0
2017-01-13,2.0
2017-01-17,18.0
2017-01-17,7.0
2017-01-18,18.0
2017-01-18,6.0
2017-01-19,18.0
2017-01-19,7.0
2017-01-20,18.0
2017-01-20,7.0
2017-01-23,18.0
2017-01-23,7.0
2017-01-24,16.0
2017-01-24,5.0
2017-01-25,16.0
2017-01-25,4.0
2017-01-26,14.0
2017-01-26,3.0
2017-01-27,14.0
2017-01-27,3.0
2017-01-30,16.0
2017-01-30,4.0
2017-01-31,16.0
2017-01-31,5.0
2017-02-01,16.0
2017-02-01,5.0
2017-02-02,17.0
2017-02-02,5.0
2017-02-03,14.0
2017-02-03,2.0
2017-02-06,14.0
2017-02-06,2.0
2017-02-07,14.0
2017-02-07,2.0
2017-02-08,16.0
2017-02-08,4.0
2017-02-09,14.0
2017-02-09,2.0
2017-02-10,14.0
2017-02-10,2.0
2017-02-13,14.0
2017-02-13,2.0
2017-02-21,9.0
2017-02-21,-3.0
2017-02-22,9.0
2017-02-22,-3.0
2017-02-23,9.0
2017-02-23,-3.0
2017-03-02,9.0
2017-03-02,-4.0
2017-03-03,9.0
2017-03-03,-3.0
2017-03-06,9.0
2017-03-06,-3.0
2017-03-07,9.0
2017-03-07,-3.0
2017-03-08,9.0
2017-03-08,-3.0
2017-03-09,9.0
2017-03-09,-3.0
2017-03-10,9.0
2017-03-10,-3.0
2017-03-13,9.0
2017-03-13,2.0
2017-03-13,-3.0
2017-03-14,9.0
2017-03-14,2.0
2017-03-14,-3.0
2017-03-15,9.0
2017-03-15,2.0
2017-03-15,-3.0
2017-03-16,10.0
2017-03-16,3.0
2017-03-16,-2.0
2017-03-17,12.0
2017-03-17,5.0
2017-03-17,-0.0
2017-03-20,12.0
2017-03-20,5.0
2017-03-20,-0.0
2017-03-21,14.0
2017-03-21,8.0
2017-03-21,3.0
2017-03-22,14.0
2017-03-22,8.0
2017-03-22,3.0
2017-03-23,15.0
2017-03-23,8.0
2017-03-23,3.0
2017-03-24,15.0
2017-03-24,8.0
2017-03-24,3.0
2017-03-27,8.0
2017-03-27,3.0
2017-03-28,8.0
2017-03-28,2.0
2017-03-29,8.0
2017-03-29,2.0
2017-03-30,6.0
2017-03-30,1.0
2017-03-31,8.0
2017-03-31,3.0
2017-04-03,8.0
2017-04-03,3.0
2017-04-04,8.0
2017-04-04,3.0
2017-04-05,10.0
2017-04-05,5.0
2017-04-06,8.0
2017-04-06,3.0
2017-04-07,10.0
2017-04-07,5.0
2017-04-10,10.0
2017-04-10,5.0
2017-04-11,10.0
2017-04-11,5.0
2017-04-12,10.0
2017-04-12,4.0
2017-04-13,11.0
2017-04-13,6.0
2017-04-17,11.0
2017-04-17,5.0
2017-04-18,11.0
2017-04-18,6.0
2017-04-19,11.0
