DataDate,profit
2016-02-26,15.0
2016-02-26,42.0
2016-02-29,17.0
2016-02-29,15.0
2016-02-29,44.0
2016-02-29,42.0
2016-03-01,12.0
2016-03-01,40.0
2016-03-02,12.0
2016-03-02,40.0
2016-03-03,12.0
2016-03-03,39.0
2016-03-04,12.0
2016-03-04,39.0
2016-03-07,12.0
2016-03-07,40.0
2016-03-08,12.0
2016-03-08,40.0
2016-03-09,12.0
2016-03-09,40.0
2016-03-10,15.0
2016-03-10,13.0
2016-03-10,42.0
2016-03-10,40.0
2016-03-11,13.0
2016-03-11,40.0
2016-03-14,13.0
2016-03-14,40.0
2016-03-15,13.0
2016-03-15,40.0
2016-03-16,13.0
2016-03-16,40.0
2016-03-17,13.0
2016-03-17,41.0
2016-03-18,13.0
2016-03-18,11.0
2016-03-18,40.0
2016-03-18,38.0
2016-03-21,13.0
2016-03-21,11.0
2016-03-21,40.0
2016-03-21,38.0
2016-03-22,13.0
2016-03-22,40.0
2016-03-23,13.0
2016-03-23,40.0
2016-03-24,13.0
2016-03-24,40.0
2016-03-28,40.0
2016-03-29,40.0
2016-03-30,40.0
2016-03-31,40.0
2016-04-01,40.0
2016-04-04,40.0
2016-04-05,42.0
2016-04-05,41.0
2016-04-06,40.0
2016-04-07,43.0
2016-04-08,43.0
2016-04-11,42.0
2016-04-12,40.0
2016-04-13,38.0
2016-04-14,38.0
2016-04-14,36.0
2016-04-15,38.0
2016-04-18,38.0
2016-04-19,36.0
2016-04-20,36.0
2016-04-21,36.0
2016-04-22,35.0
2016-04-25,36.0
2016-04-26,36.0
2016-04-27,35.0
2016-04-28,36.0
2016-04-29,36.0
2016-05-02,35.0
2016-05-03,37.0
2016-05-03,36.0
2016-05-04,38.0
2016-05-05,38.0
2016-05-06,38.0
2016-05-09,38.0
2016-05-10,38.0
2016-05-11,37.0
2016-05-12,38.0
2016-05-13,38.0
2016-05-16,38.0
2016-05-17,38.0
2016-05-18,35.0
2016-05-19,35.0
2016-05-20,35.0
2016-05-23,35.0
2016-05-24,35.0
2016-05-26,35.0
2016-06-03,35.0
2016-06-07,35.0
2016-06-09,35.0
2016-06-10,35.0
2016-06-13,35.0
2016-06-14,12.0
2016-06-14,38.0
2016-06-15,12.0
2016-06-15,38.0
2016-06-16,12.0
2016-06-16,38.0
2016-06-17,12.0
2016-06-17,38.0
2016-06-20,12.0
2016-06-20,38.0
2016-06-21,12.0
2016-06-21,10.0
2016-06-21,38.0
2016-06-21,36.0
2016-06-22,12.0
2016-06-22,10.0
2016-06-22,38.0
2016-06-22,36.0
2016-06-23,10.0
2016-06-23,36.0
2016-06-24,14.0
2016-06-24,40.0
2016-06-27,17.0
2016-06-27,42.0
2016-06-28,15.0
2016-06-28,40.0
2016-06-29,12.0
2016-06-29,38.0
2016-06-30,12.0
2016-06-30,38.0
2016-07-01,12.0
2016-07-01,38.0
2016-07-05,15.0
2016-07-05,40.0
2016-07-06,14.0
2016-07-06,40.0
2016-07-07,14.0
2016-07-07,12.0
2016-07-07,40.0
2016-07-07,38.0
2016-07-08,12.0
2016-07-08,38.0
2016-07-11,12.0
2016-07-11,38.0
2016-07-12,10.0
2016-07-12,36.0
2016-07-13,10.0
2016-07-13,36.0
2016-07-14,10.0
2016-07-14,36.0
2016-07-15,10.0
2016-07-15,36.0
2016-07-18,10.0
2016-07-18,36.0
2016-07-19,10.0
2016-07-19,36.0
2016-07-20,10.0
2016-07-20,36.0
2016-07-21,10.0
2016-07-21,36.0
2016-07-22,10.0
2016-07-22,36.0
2016-07-25,10.0
2016-07-25,36.0
2016-07-26,10.0
2016-07-26,36.0
2016-07-27,10.0
2016-07-27,35.0
2016-07-28,10.0
2016-07-28,36.0
2016-07-29,10.0
2016-07-29,36.0
2016-08-01,10.0
2016-08-01,36.0
2016-08-02,10.0
2016-08-02,35.0
2016-08-03,10.0
2016-08-03,35.0
2016-08-04,10.0
2016-08-04,35.0
2016-08-29,31.0
2016-08-30,31.0
2016-08-31,31.0
2016-09-01,31.0
2016-09-02,31.0
2016-09-06,31.0
2016-09-07,31.0
2016-09-08,31.0
2016-09-09,31.0
2016-09-12,31.0
2016-09-21,31.0
2016-09-22,31.0
2016-09-23,31.0
2016-09-28,31.0
2016-10-05,31.0
2016-10-06,31.0
2016-10-07,31.0
2016-10-10,31.0
2016-10-11,31.0
2016-10-12,31.0
2016-10-13,31.0
2016-10-14,31.0
2016-10-17,33.0
2016-10-17,31.0
2016-10-18,31.0
2016-10-19,31.0
2016-10-20,31.0
2016-10-21,31.0
2016-10-24,31.0
2016-10-25,31.0
2016-10-26,31.0
2016-10-27,31.0
2016-10-28,31.0
2016-10-31,31.0
2016-11-01,31.0
2016-11-02,31.0
2016-11-03,31.0
2016-11-04,31.0
2016-11-09,26.0
2016-11-10,21.0
2016-11-11,21.0
2016-11-14,16.0
2016-11-14,4.0
2016-11-15,16.0
2016-11-15,6.0
2016-11-16,20.0
2016-11-16,10.0
2016-11-17,19.0
2016-11-17,9.0
2016-11-18,20.0
2016-11-18,9.0
2016-11-21,20.0
2016-11-21,9.0
2016-11-30,15.0
2016-11-30,5.0
2016-12-01,15.0
2016-12-01,4.0
2016-12-02,15.0
2016-12-02,4.0
2016-12-06,11.0
2016-12-06,-0.0
2016-12-07,10.0
2016-12-07,-0.0
2016-12-08,10.0
2016-12-08,-1.0
2016-12-09,10.0
2016-12-09,-1.0
2016-12-12,10.0
2016-12-12,-0.0
2016-12-13,10.0
2016-12-13,-0.0
2016-12-14,10.0
2016-12-14,-1.0
2016-12-15,10.0
2016-12-15,-1.0
2016-12-16,10.0
2016-12-16,-1.0
2016-12-19,10.0
2016-12-19,-1.0
2016-12-20,10.0
2016-12-20,-1.0
2016-12-21,10.0
2016-12-21,-1.0
2016-12-22,10.0
2016-12-22,-1.0
2016-12-28,10.0
2016-12-28,-1.0
2016-12-29,10.0
2016-12-29,-1.0
2016-12-30,10.0
2016-12-30,-2.0
2017-01-04,10.0
2017-01-04,-2.0
2017-01-05,10.0
2017-01-05,-1.0
2017-01-06,10.0
2017-01-06,-1.0
2017-01-09,10.0
2017-01-09,-1.0
2017-01-10,10.0
2017-01-10,-2.0
2017-01-12,10.0
2017-01-12,-1.0
2017-01-13,10.0
2017-01-13,-1.0
2017-01-17,11.0
2017-01-17,-0.0
2017-01-18,11.0
2017-01-18,-0.0
2017-01-20,11.0
2017-01-20,0.0
2017-01-23,11.0
2017-01-23,-0.0
2017-01-24,11.0
2017-01-24,-0.0
2017-01-25,11.0
2017-01-25,-0.0
2017-01-26,11.0
2017-01-26,-1.0
2017-01-27,11.0
2017-01-27,-1.0
2017-01-30,11.0
2017-01-30,-0.0
2017-01-31,11.0
2017-01-31,-0.0
2017-02-01,11.0
2017-02-01,-0.0
2017-02-02,11.0
2017-02-02,-0.0
2017-02-06,10.0
2017-02-06,-1.0
2017-02-07,11.0
2017-02-07,-1.0
2017-02-08,11.0
2017-02-08,-1.0
2017-02-13,6.0
2017-02-13,-5.0
2017-02-14,6.0
2017-02-14,-5.0
2017-02-15,6.0
2017-02-15,-6.0
2017-02-16,6.0
2017-02-16,-6.0
2017-02-17,6.0
2017-02-17,-5.0
2017-02-21,6.0
2017-02-21,-6.0
2017-02-22,6.0
2017-02-22,-6.0
2017-02-23,5.0
2017-02-23,-6.0
2017-02-24,6.0
2017-02-24,-5.0
2017-02-27,6.0
2017-02-27,-6.0
2017-02-28,6.0
2017-02-28,-6.0
2017-03-01,1.0
2017-03-01,-5.0
2017-03-02,1.0
2017-03-02,-5.0
2017-03-03,1.0
2017-03-03,-5.0
2017-03-06,1.0
2017-03-06,-5.0
2017-03-08,6.0
2017-03-08,-6.0
2017-03-15,2.0
2017-03-15,-3.0
2017-03-15,-5.0
2017-03-17,6.0
