DataDate,Actual,Predicted,Positive Actual signal,Negative Actual signal,Positive Predicted signal,Negative Predicted signal,Actual Signal,LSTM Predicted Signal
2018-11-01,-0.22912441647462806,0.05538612,0,-1,1,0,-1,1
2018-11-02,0.19330423128759716,0.10996049,1,0,1,0,1,1
2018-11-05,0.21818386795579675,0.12882538,1,0,1,0,1,1
2018-11-07,0.4588444084104351,0.1098767,1,0,1,0,1,1
2018-11-08,-0.2422845118049332,0.044336636,0,-1,1,0,-1,1
2018-11-09,-0.3092442959939469,0.05639693,0,-1,1,0,-1,1
2018-11-12,-0.06411251666385456,0.112291224,0,-1,1,0,-1,1
2018-11-13,0.3055391945201859,0.11860031,1,0,1,0,1,1
2018-11-14,0.1773111578204818,0.08004697,1,0,1,0,1,1
2018-11-15,-0.21924849935365834,0.058963403,0,-1,1,0,-1,1
2018-11-16,-0.05954077815496711,0.10855002,0,-1,1,0,-1,1
2018-11-19,0.024662030618911614,0.1596472,1,0,1,0,1,1
2018-11-20,0.9804135365330772,0.1536804,1,0,1,0,1,1
2018-11-21,-0.2740146179883591,0.008206414,0,-1,1,0,-1,1
2018-11-23,-0.27667126291274186,0.020506747,0,-1,1,0,-1,1
2018-11-26,0.058099005912073586,0.095728874,1,0,1,0,1,1
2018-11-27,0.6625489752409947,0.123541914,1,0,1,0,1,1
2018-11-28,-0.6426933281525706,0.040736448,0,-1,1,0,-1,1
2018-11-29,0.21656607121246185,0.13279083,1,0,1,0,1,1
2018-11-30,0.5026467429843112,0.16005531,1,0,1,0,1,1
2018-12-03,0.2380558669566295,0.10443149,1,0,1,0,1,1
2018-12-04,-0.05086771329448269,0.015769241,0,-1,1,0,-1,1
2018-12-06,-0.1908706838977017,8.303212e-05,0,-1,1,0,-1,1
2018-12-07,-0.10397680918412586,0.009437744,0,-1,1,0,-1,1
2018-12-10,0.03580490512102365,0.03144636,1,0,1,0,1,1
2018-12-11,0.3932810148242393,0.055486403,1,0,1,0,1,1
2018-12-12,-0.20318412114420814,0.013230117,0,-1,1,0,-1,1
